session_date,root_symbol,front_month_sym,front_month_id,back_month_sym,back_month_id,close_price,adjusted_close,back_close,spread,is_roll_day,cum_adjustment,gap,days_to_expiry,rc_trade_count,rc_volume,open_price,session_high,session_low,session_trade_count,session_volume,avg_spread_ticks,spread_volatility,overnight_range_pct,overnight_return,open_range_pct,spread_volume,buy_volume,sell_volume,flow_imbalance
2017-06-28,KE,KEU7,708395,KEZ7,516014,479.75,336.75,505.75,-26.0,false,-143.0,0.0,78,6196,16085,475.5,482.75,474.0,6196,16085,1.161600935211961,0.4353945293799381,,,,2755,7096,6105,0.0750700704492084
2017-06-29,KE,KEU7,708395,KEZ7,516014,500.25,357.25,525.0,-24.75,false,-143.0,0.0,77,12506,34993,479.75,502.75,478.5,12506,34993,1.1814819039548943,0.4101200782580093,,,,5886,14766,14474,0.009986320109439124
2017-06-30,KE,KEU7,708395,KEZ7,516014,528.25,385.25,552.25,-24.0,false,-143.0,0.0,76,15246,38421,499.0,529.5,497.75,15246,38421,1.3021709326812998,0.577826253064706,,,,6127,16786,14578,0.0703991837775794
2017-07-03,KE,KEU7,708395,KEZ7,516014,559.0,416.0,583.75,-24.75,false,-143.0,0.0,73,10678,25761,535.0,559.5,535.0,10678,25761,1.4218334053832677,0.7441948996395372,,,,3858,11728,9544,0.10267017675817977
2017-07-05,KE,KEU7,708395,KEZ7,516014,568.25,425.25,593.25,-25.0,false,-143.0,0.0,71,19119,42413,563.25,577.25,541.25,19119,42413,1.2864681622375056,0.5588881772437433,,,,6755,17896,17263,0.018003925026309053
2017-07-06,KE,KEU7,708395,KEZ7,516014,546.0,403.0,572.0,-26.0,false,-143.0,0.0,70,12258,26857,569.0,569.0,543.5,12258,26857,1.40958882107292,0.7373526790066927,,,,3681,10986,12470,-0.06326739427012279
2017-07-07,KE,KEU7,708395,KEZ7,516014,539.75,396.75,565.0,-25.25,false,-143.0,0.0,69,8878,19606,545.75,552.5,536.75,8878,19606,1.2614107033012099,0.5086755033998903,,,,2765,8121,8903,-0.04593515037593985
2017-07-10,KE,KEU7,708395,KEZ7,516014,557.25,414.25,583.5,-26.25,false,-143.0,0.0,66,8526,17733,549.0,561.0,547.75,8526,17733,1.3715085878040156,0.7728423761494043,,,,2514,7442,8002,-0.03626003626003626
2017-07-11,KE,KEU7,708395,KEZ7,516014,555.5,412.5,581.25,-25.75,false,-143.0,0.0,65,8680,18396,558.0,565.0,546.5,8680,18396,1.3426966760272316,0.7189844570130272,,,,2494,8335,7928,0.025026132939802003
2017-07-12,KE,KEU7,708395,KEZ7,516014,542.5,399.5,569.0,-26.5,false,-143.0,0.0,64,8785,17448,552.75,556.75,538.75,8785,17448,1.4425579313360122,1.0267017349516092,,,,2681,6640,7567,-0.06524952488210037
2017-07-13,KE,KEU7,708395,KEZ7,516014,516.5,373.5,543.0,-26.5,false,-143.0,0.0,63,10261,23633,540.5,541.0,515.0,10261,23633,1.2395970169323225,0.5013451707263074,,,,3314,8216,11929,-0.1843137254901961
2017-07-14,KE,KEU7,708395,KEZ7,516014,513.0,370.0,539.75,-26.75,false,-143.0,0.0,62,6581,14900,516.25,523.25,510.0,6581,14900,1.2055617293750331,0.45484552384358834,,,,2007,6352,6712,-0.027556644213104716
2017-07-17,KE,KEU7,708395,KEZ7,516014,508.25,365.25,534.5,-26.25,false,-143.0,0.0,59,4877,11518,512.25,512.25,503.0,4877,11518,1.276771534827621,0.577485050878554,,,,1790,4744,4767,-0.0024182525496793186
2017-07-18,KE,KEU7,708395,KEZ7,516014,502.5,359.5,529.0,-26.5,false,-143.0,0.0,58,8402,20221,508.75,517.5,502.0,8402,20221,1.2198470885888937,0.48261681381081084,,,,2879,8144,9554,-0.07967001921121031
2017-07-19,KE,KEU7,708395,KEZ7,516014,501.75,358.75,528.25,-26.5,false,-143.0,0.0,57,7659,17750,501.5,507.25,497.5,7659,17750,1.2022520305193207,0.48166805683086716,,,,2895,6900,7677,-0.05330314879604857
2017-07-20,KE,KEU7,708395,KEZ7,516014,505.0,362.0,531.5,-26.5,false,-143.0,0.0,56,7384,16014,501.5,506.5,493.75,7384,16014,1.2847161035182264,0.7567882897436983,,,,3224,7119,6268,0.06356913423470531
2017-07-21,KE,KEU7,708395,KEZ7,516014,498.0,355.0,523.75,-25.75,false,-143.0,0.0,55,6529,14890,503.75,507.5,493.5,6529,14890,1.2263656741874178,0.4768264100993181,,,,2549,5865,6817,-0.07506702412868632
2017-07-24,KE,KEU7,708395,KEZ7,516014,488.25,345.25,515.5,-27.25,false,-143.0,0.0,52,7673,20249,491.25,493.25,479.0,7673,20249,1.2067753118099163,0.52183404796798,,,,3854,7825,8119,-0.018439538384345207
2017-07-25,KE,KEU7,708395,KEZ7,516014,474.25,331.25,501.25,-27.0,false,-143.0,0.0,51,7505,18459,493.25,493.25,472.25,7505,18459,1.221460703560169,0.5168134749419534,,,,3179,6721,8784,-0.1330538535956143
